Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/08/2025 16:30,Luigi Ferraris,Genoa,Lecce,0 - 0
2,1,23/08/2025 16:30,Mapei Stadium - Città del Tricolore,Sassuolo,Napoli,0 - 2
3,1,23/08/2025 18:45,San Siro,Milan,Cremonese,1 - 2
4,1,23/08/2025 18:45,Olimpico,Roma,Bologna,1 - 0
5,1,24/08/2025 16:30,Unipol Domus,Cagliari,Fiorentina,1 - 1
6,1,24/08/2025 16:30,Giuseppe Sinigaglia,Como,Lazio,2 - 0
7,1,24/08/2025 18:45,Atleti Azzurri d'Italia,Atalanta,Pisa,1 - 1
8,1,24/08/2025 18:45,Juventus Stadium,Juventus,Parma,2 - 0
9,1,25/08/2025 16:30,Friuli,Udinese,Hellas Verona,1 - 1
10,1,25/08/2025 18:45,San Siro,Inter,Torino,5 - 0
11,2,29/08/2025 16:30,Giovanni Zini,Cremonese,Sassuolo,3 - 2
12,2,29/08/2025 18:45,Ettore Giardiniero - Via del mare,Lecce,Milan,0 - 2
13,2,30/08/2025 16:30,Renato Dall'Ara,Bologna,Como,1 - 0
14,2,30/08/2025 16:30,Ennio Tardini,Parma,Atalanta,1 - 1
15,2,30/08/2025 18:45,Diego Armando Maradona,Napoli,Cagliari,1 - 0
16,2,30/08/2025 18:45,Garibaldi,Pisa,Roma,0 - 1
17,2,31/08/2025 16:30,Luigi Ferraris,Genoa,Juventus,0 - 1
18,2,31/08/2025 16:30,Olimpico Grande Torino,Torino,Fiorentina,0 - 0
19,2,31/08/2025 18:45,San Siro,Inter,Udinese,1 - 2
20,2,31/08/2025 18:45,Olimpico,Lazio,Hellas Verona,4 - 0
21,3,13/09/2025 13:00,Unipol Domus,Cagliari,Parma,2 - 0
22,3,13/09/2025 16:00,Juventus Stadium,Juventus,Inter,4 - 3
23,3,13/09/2025 18:45,Artemio Franchi,Fiorentina,Napoli,1 - 3
24,3,14/09/2025 10:30,Olimpico,Roma,Torino,0 - 1
25,3,14/09/2025 13:00,Atleti Azzurri d'Italia,Atalanta,Lecce,4 - 1
26,3,14/09/2025 13:00,Garibaldi,Pisa,Udinese,0 - 1
27,3,14/09/2025 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Lazio,1 - 0
28,3,14/09/2025 18:45,San Siro,Milan,Bologna,1 - 0
29,3,15/09/2025 16:30,Marcantonio Bentegodi,Hellas Verona,Cremonese,0 - 0
30,3,15/09/2025 18:45,Giuseppe Sinigaglia,Como,Genoa,1 - 1
39,4,19/09/2025 18:45,Ettore Giardiniero - Via del mare,Lecce,Cagliari,1 - 2
34,4,20/09/2025 13:00,Renato Dall'Ara,Bologna,Genoa,2 - 1
